dsgdb9nsd_000054	CC(C)(C)C
dsgdb9nsd_001176	CCC(C)(N)C#N
dsgdb9nsd_001177	CCC(C)(O)C#C
dsgdb9nsd_001178	CCC(C)(O)C#N
dsgdb9nsd_001179	CNC(C)(C)C#N
dsgdb9nsd_001180	COC(C)(C)C#C
dsgdb9nsd_001181	COC(C)(C)C#N
dsgdb9nsd_001182	CC(C)(CO)C=O
dsgdb9nsd_001183	CC(O)(CO)C=O
dsgdb9nsd_001184	CCC(C)(C)C=O
dsgdb9nsd_001185	CCC(C)(O)C=O
dsgdb9nsd_001186	COC(C)(C)C=O
dsgdb9nsd_001187	CC(C)(CO)CO
dsgdb9nsd_001188	CC(O)(CO)CO
dsgdb9nsd_001189	CCC(C)(C)CC
dsgdb9nsd_001190	CCC(C)(C)CO
dsgdb9nsd_001191	CCC(C)(C)OC
dsgdb9nsd_001192	CCC(C)(O)CC
dsgdb9nsd_001193	CCC(C)(O)CO
dsgdb9nsd_001194	COC(C)(C)CO
dsgdb9nsd_001195	CC#CCC(C)=O
dsgdb9nsd_001197	CC#CCC(C)C
dsgdb9nsd_001198	CC#CCC(C)O
dsgdb9nsd_001207	CC(=O)CCC#C
dsgdb9nsd_001220	CC(=O)CCC=O
dsgdb9nsd_001233	CC(C)C#CC#C
dsgdb9nsd_001237	CC(C)C#CC=O
dsgdb9nsd_001239	CC(C)CCC#C
dsgdb9nsd_001240	CC(C)CCC#N
dsgdb9nsd_001241	CC(C)NCC#N
dsgdb9nsd_001242	CC(C)OCC#C
dsgdb9nsd_001243	CC(C)OCC#N
dsgdb9nsd_001244	CC(O)CCC#C
dsgdb9nsd_001245	CC(O)CCC#N
dsgdb9nsd_001246	CN(C)CCC#N
dsgdb9nsd_001247	CC(C)CCC=O
dsgdb9nsd_001248	CC(C)CNC=O
dsgdb9nsd_001249	CC(C)COC=O
dsgdb9nsd_001250	CC(C)OCC=O
dsgdb9nsd_001251	CC(O)CCC=O
dsgdb9nsd_001252	CC(O)CNC=O
dsgdb9nsd_001253	CC(O)COC=N
dsgdb9nsd_001254	CC(O)COC=O
dsgdb9nsd_001255	CN=CNC(C)=O
dsgdb9nsd_001260	CN=COC(C)C
dsgdb9nsd_001262	CCC#CC(C)=O
dsgdb9nsd_001266	CC(C)C#CCO
dsgdb9nsd_001267	CC(O)C#CCO
dsgdb9nsd_001268	CCC#CC(C)C
dsgdb9nsd_001269	CCC#CC(C)O
dsgdb9nsd_001270	COC=NC(C)C
dsgdb9nsd_001271	CC(=N)OCCO
dsgdb9nsd_001272	CC(=O)CCCO
dsgdb9nsd_001273	CC(=O)NCCO
dsgdb9nsd_001274	CC(=O)OCCO
dsgdb9nsd_001275	CCCCC(C)=O
dsgdb9nsd_001276	CCCCC(N)=O
dsgdb9nsd_001277	CCCNC(C)=O
dsgdb9nsd_001278	CCCNC(N)=O
dsgdb9nsd_001279	CCCOC(C)=O
dsgdb9nsd_001280	CCCOC(N)=O
dsgdb9nsd_001282	CCOCC(C)=O
dsgdb9nsd_001283	CCOCC(N)=O
dsgdb9nsd_001285	COCCC(C)=O
dsgdb9nsd_001286	COCCC(N)=O
dsgdb9nsd_001287	NC(=O)CCCO
dsgdb9nsd_001288	NC(=O)NCCO
dsgdb9nsd_001291	CC(C)CCCO
dsgdb9nsd_001292	CC(C)OCCO
dsgdb9nsd_001293	CC(O)CCCO
dsgdb9nsd_001294	CCCCC(C)C
dsgdb9nsd_001295	CCCCC(C)O
dsgdb9nsd_001296	CCCOC(C)C
dsgdb9nsd_001297	CCOCC(C)C
dsgdb9nsd_001298	CCOCC(C)O
dsgdb9nsd_001299	COCCC(C)C
dsgdb9nsd_001300	COCCC(C)O
dsgdb9nsd_001301	CC1(C)CCC1=O
dsgdb9nsd_001302	CC1(C)CNC1=O
dsgdb9nsd_001303	CC1(C)COC1=N
dsgdb9nsd_001304	CC1(C)COC1=O
dsgdb9nsd_001305	CC1(C)NCC1=O
dsgdb9nsd_001306	CC1(C)OCC1=O
dsgdb9nsd_001308	CC1(O)CCC1=O
dsgdb9nsd_001312	CC1(C)CCC1O
dsgdb9nsd_001313	CC1(C)OCC1O
dsgdb9nsd_001314	CC1(O)CCC1O
dsgdb9nsd_001315	CC1CCC1(C)C
dsgdb9nsd_001316	CC1CCC1(C)O
dsgdb9nsd_001317	CC1COC1(C)C
dsgdb9nsd_001318	CC1OCC1(C)C
dsgdb9nsd_001319	CC1OCC1(C)O
dsgdb9nsd_001320	CC1(C)CC1C#C
dsgdb9nsd_001321	CC1(C)CC1C#N
dsgdb9nsd_001322	CC1(C)NC1C#C
dsgdb9nsd_001323	CC1(C)NC1C#N
dsgdb9nsd_001324	CC1(C)OC1C#C
dsgdb9nsd_001326	CC1(O)CC1C#C
dsgdb9nsd_001328	CC1(C)CC1C=O
dsgdb9nsd_001329	CC1(C)CN1C=O
dsgdb9nsd_001330	CC1(C)NC1C=O
dsgdb9nsd_001331	CC1(C)OC1C=O
dsgdb9nsd_001332	CC1(O)CC1C=O
dsgdb9nsd_001333	CC1(C)CC1CO
dsgdb9nsd_001334	CC1(C)NC1CO
dsgdb9nsd_001335	CC1(C)OC1CO
dsgdb9nsd_001336	CC1(O)CC1CO
dsgdb9nsd_001337	CCC1CC1(C)C
dsgdb9nsd_001338	CCC1CC1(C)O
dsgdb9nsd_001339	CCC1OC1(C)C
dsgdb9nsd_001340	CCN1CC1(C)C
dsgdb9nsd_001341	COC1CC1(C)C
dsgdb9nsd_001342	COC1CC1(C)O
dsgdb9nsd_001343	CC1(C)CC=CC1
dsgdb9nsd_001344	CC1(C)CN=CO1
dsgdb9nsd_001345	CC1(O)CC=CC1
dsgdb9nsd_001346	CC1(C)CCC=C1
dsgdb9nsd_001347	CC1(C)COC=N1
dsgdb9nsd_001348	CC1(C)OCC=C1
dsgdb9nsd_001349	CC1(O)CCC=C1
dsgdb9nsd_001350	CC1(C)CCCC1
dsgdb9nsd_001351	CC1(C)CCCO1
dsgdb9nsd_001352	CC1(C)CCOC1
dsgdb9nsd_001353	CC1(C)COCO1
dsgdb9nsd_001354	CC1(C)OCCO1
dsgdb9nsd_001355	CC1(O)CCCC1
dsgdb9nsd_001356	CC1(O)CCOC1
dsgdb9nsd_001357	CC1(C)C(O)C1O
dsgdb9nsd_001358	CC1(O)C(O)C1O
dsgdb9nsd_001359	CC1C(C)C1(C)C
dsgdb9nsd_001360	CC1C(C)C1(C)O
dsgdb9nsd_001361	CC1C(O)C1(C)C
dsgdb9nsd_001362	CC1C(O)C1(C)O
dsgdb9nsd_001363	CC1N(C)C1(C)C
dsgdb9nsd_001387	CC#CC(C)C#C
dsgdb9nsd_001392	CC#CC(C)C=O
dsgdb9nsd_001394	CC(CC#C)C#C
dsgdb9nsd_001405	CC(CC#C)C=O
dsgdb9nsd_001411	CC(CC=O)C#C
dsgdb9nsd_001421	CC(CC=O)C=O
dsgdb9nsd_001427	CN=C(C)NC=O
dsgdb9nsd_001430	CN=CN(C)C=O
dsgdb9nsd_001432	CCC(=O)C#CC
dsgdb9nsd_001435	CCC(=O)CC#C
dsgdb9nsd_001443	CCC(=N)NC=O
dsgdb9nsd_001444	CCC(=O)CC=O
dsgdb9nsd_001445	CCC(=O)NC=N
dsgdb9nsd_001463	CC#CC(C)CO
dsgdb9nsd_001464	CC#CC(O)CO
dsgdb9nsd_001465	CCC(C)C#CC
dsgdb9nsd_001466	CCC(O)C#CC
dsgdb9nsd_001467	COC(C)C#CC
dsgdb9nsd_001468	CC(CO)CC#C
dsgdb9nsd_001469	CC(CO)CC#N
dsgdb9nsd_001470	CCC(C)CC#C
dsgdb9nsd_001471	CCC(C)CC#N
dsgdb9nsd_001472	CCC(O)CC#C
dsgdb9nsd_001473	CCC(O)CC#N
dsgdb9nsd_001474	CCN(C)CC#N
dsgdb9nsd_001475	COC(C)CC#C
dsgdb9nsd_001476	COC(C)CC#N
dsgdb9nsd_001477	OCC(O)CC#C
dsgdb9nsd_001479	CC(CO)CC=O
dsgdb9nsd_001480	CC(CO)NC=O
dsgdb9nsd_001481	CC(CO)OC=N
dsgdb9nsd_001482	CC(CO)OC=O
dsgdb9nsd_001483	CCC(C)CC=O
dsgdb9nsd_001484	CCC(C)NC=O
dsgdb9nsd_001485	CCC(C)OC=O
dsgdb9nsd_001486	CCC(O)CC=O
dsgdb9nsd_001487	COC(C)CC=O
dsgdb9nsd_001488	OCC(O)CC=O
dsgdb9nsd_001490	CCN=C(N)C=O
dsgdb9nsd_001491	CCCC(=O)C#C
dsgdb9nsd_001504	CCCC(=O)C=O
dsgdb9nsd_001505	CCNC(=N)C=O
dsgdb9nsd_001511	CCC(=O)CCO
dsgdb9nsd_001512	CCC(=O)COC
dsgdb9nsd_001513	CCCC(=O)CC
dsgdb9nsd_001514	CCCC(=O)CO
dsgdb9nsd_001515	CCCC(=O)NC
dsgdb9nsd_001516	CCCC(=O)OC
dsgdb9nsd_001517	CCNC(=O)CC
dsgdb9nsd_001518	CCNC(=O)CO
dsgdb9nsd_001519	CCNC(=O)NC
dsgdb9nsd_001520	CCNC(=O)OC
dsgdb9nsd_001521	CCOC(=N)CC
dsgdb9nsd_001522	CCOC(=N)CO
dsgdb9nsd_001523	CCOC(=N)OC
dsgdb9nsd_001524	CCOC(=O)CC
dsgdb9nsd_001525	CCOC(=O)CN
dsgdb9nsd_001526	CCOC(=O)CO
dsgdb9nsd_001527	CCOC(=O)NC
dsgdb9nsd_001528	CNC(=O)CCO
dsgdb9nsd_001529	CNC(=O)COC
dsgdb9nsd_001530	CNCC(=O)OC
dsgdb9nsd_001531	COC(=N)CCO
dsgdb9nsd_001532	COC(=O)CCO
dsgdb9nsd_001533	COCC(=N)OC
dsgdb9nsd_001534	COCC(=O)CO
dsgdb9nsd_001535	COCC(=O)OC
dsgdb9nsd_001536	OCCC(=O)CO
dsgdb9nsd_001537	CC(CCO)C#C
dsgdb9nsd_001538	CC(CCO)C#N
dsgdb9nsd_001539	CCCC(C)C#C
dsgdb9nsd_001540	CCCC(C)C#N
dsgdb9nsd_001541	CCCC(N)C#N
dsgdb9nsd_001542	CCCC(O)C#C
dsgdb9nsd_001543	CCCC(O)C#N
dsgdb9nsd_001544	CCNC(C)C#N
dsgdb9nsd_001545	CCOC(C)C#C
dsgdb9nsd_001546	CCOC(C)C#N
dsgdb9nsd_001547	CNCC(O)C#N
dsgdb9nsd_001548	COCC(C)C#C
dsgdb9nsd_001549	COCC(C)C#N
dsgdb9nsd_001550	COCC(N)C#N
dsgdb9nsd_001551	COCC(O)C#C
dsgdb9nsd_001553	NC(CCO)C#N
dsgdb9nsd_001554	OCCC(O)C#C
dsgdb9nsd_001556	CC(CCO)C=O
dsgdb9nsd_001557	CCCC(C)C=O
dsgdb9nsd_001558	CCCC(O)C=O
dsgdb9nsd_001559	CCCN(C)C=O
dsgdb9nsd_001560	CCOC(C)C=O
dsgdb9nsd_001561	CN(CCO)C=O
dsgdb9nsd_001562	COCC(C)C=O
dsgdb9nsd_001563	COCC(O)C=O
dsgdb9nsd_001564	OCCC(O)C=O
dsgdb9nsd_001565	CC(CO)CCO
dsgdb9nsd_001566	CCC(C)CCO
dsgdb9nsd_001567	CCC(C)COC
dsgdb9nsd_001568	CCC(O)CCO
dsgdb9nsd_001569	CCC(O)COC
dsgdb9nsd_001570	CCCC(C)CC
dsgdb9nsd_001571	CCCC(C)CO
dsgdb9nsd_001572	CCCC(C)OC
dsgdb9nsd_001573	CCCC(O)CC
dsgdb9nsd_001574	CCCC(O)CO
dsgdb9nsd_001575	CCOC(C)CC
dsgdb9nsd_001576	CCOC(C)CO
dsgdb9nsd_001577	COC(C)CCO
dsgdb9nsd_001578	COCC(C)CO
dsgdb9nsd_001579	COCC(C)OC
dsgdb9nsd_001580	COCC(O)CO
dsgdb9nsd_001581	OCCC(O)CO
dsgdb9nsd_001592	CC(C#C)C(C)=O
dsgdb9nsd_001602	CC(C)C(=O)C#C
dsgdb9nsd_001609	CC(C)C(=O)C=O
dsgdb9nsd_001611	CN(C)C(=N)C=O
dsgdb9nsd_001613	CC(C#N)N(C)C
dsgdb9nsd_001614	CC(C)C(C)C#C
dsgdb9nsd_001615	CC(C)C(C)C#N
dsgdb9nsd_001616	CC(C)C(N)C#N
dsgdb9nsd_001617	CC(C)C(O)C#C
dsgdb9nsd_001618	CC(C)C(O)C#N
dsgdb9nsd_001619	CC(N)C(N)C#N
dsgdb9nsd_001620	CC(O)C(C)C#C
dsgdb9nsd_001621	CC(O)C(C)C#N
dsgdb9nsd_001622	CC(O)C(N)C#N
dsgdb9nsd_001623	CC(O)C(O)C#C
dsgdb9nsd_001625	CC(C)C(C)C=O
dsgdb9nsd_001626	CC(C)C(O)C=O
dsgdb9nsd_001627	CC(C)N(C)C=O
dsgdb9nsd_001628	CC(O)C(C)C=O
dsgdb9nsd_001629	CC(O)C(O)C=O
dsgdb9nsd_001631	CC(C=O)C(C)=O
dsgdb9nsd_001633	CN(C=N)C(C)=O
dsgdb9nsd_001635	CN(C=O)C(C)=N
dsgdb9nsd_001640	CN=C(N)C(C)=O
dsgdb9nsd_001644	CCC(=O)C(C)=O
dsgdb9nsd_001647	CNC(=N)C(C)=O
dsgdb9nsd_001656	CC(C)C(=O)CO
dsgdb9nsd_001657	CC(O)C(=O)CO
dsgdb9nsd_001658	CCC(=O)C(C)C
dsgdb9nsd_001659	CCC(=O)C(C)O
dsgdb9nsd_001660	CCC(=O)N(C)C
dsgdb9nsd_001661	CN(C)C(=O)CO
dsgdb9nsd_001662	CNC(=O)C(C)C
dsgdb9nsd_001663	CNC(=O)C(C)O
dsgdb9nsd_001664	CNC(=O)N(C)C
dsgdb9nsd_001665	COC(=O)C(C)C
dsgdb9nsd_001666	COC(=O)C(C)N
dsgdb9nsd_001667	COC(=O)C(C)O
dsgdb9nsd_001668	COC(=O)N(C)C
dsgdb9nsd_001669	CC(=O)C(O)CO
dsgdb9nsd_001670	CC(C[NH3+])C([O-])=O
dsgdb9nsd_001671	CC(CO)C(C)=O
dsgdb9nsd_001672	CC(CO)C(N)=O
dsgdb9nsd_001673	CCC(C)C(C)=O
dsgdb9nsd_001674	CCC(C)C(N)=O
dsgdb9nsd_001676	CCC(O)C(C)=O
dsgdb9nsd_001677	CCC(O)C(N)=O
dsgdb9nsd_001678	CCN(C)C(C)=O
dsgdb9nsd_001679	CCN(C)C(N)=O
dsgdb9nsd_001681	COC(C)C(C)=O
dsgdb9nsd_001682	COC(C)C(N)=O
dsgdb9nsd_001687	CC(C)C(C)CO
dsgdb9nsd_001688	CC(C)C(O)CO
dsgdb9nsd_001689	CC(O)C(C)CO
dsgdb9nsd_001690	CC(O)C(O)CO
dsgdb9nsd_001691	CCC(C)C(C)C
dsgdb9nsd_001692	CCC(C)C(C)O
dsgdb9nsd_001693	CCC(O)C(C)C
dsgdb9nsd_001694	CCC(O)C(C)O
dsgdb9nsd_001695	COC(C)C(C)C
dsgdb9nsd_001696	COC(C)C(C)O
